WL (nm),B-2-RSR,,WL (nm),B-3 RSR,,WL (nm),B-4 RSR
450,0,,560,0,,700,0
451,-0.000000137946,,561,-0.000000303043,,701,-0.0000000000220749
452,0,,562,0,,702,0
453,0.000000465599,,563,0.000000160598,,703,0.0000000000823845
454,0,,564,0,,704,0
455,-0.00000172445,,565,-0.000000339351,,705,-0.000000000307463
456,0,,566,0,,706,0
457,0.0000081322,,567,0.00000119681,,707,0.00000000114747
458,0.0000136,,568,0,,708,0
459,0.00000829564,,569,-0.00000444787,,709,-0.00000000428241
460,0,,570,0,,710,0
461,-0.00000221474,,571,0.0000209572,,711,0.0000000159822
462,0,,572,0.0000349,,712,0
463,0.00000226334,,573,0.0000209567,,713,-0.0000000596463
464,0,,574,0,,714,0
465,-0.00000683863,,575,-0.00000444638,,715,0.000000222603
466,0,,576,0,,716,0
467,0.0000316787,,577,0.00000119133,,717,-0.000000830766
468,0.0000527,,578,0,,718,0
469,0.0000316365,,579,-0.000000318942,,719,0.00000310046
470,0,,580,0,,720,0
471,-0.00000671205,,581,0.0000000844371,,721,-0.0000115711
472,0,,582,0,,722,0
473,0.00000179924,,583,-0.0000000188068,,723,0.0000545588
474,0,,584,0,,724,0.000091
475,-0.000000484892,,585,-0.00000000921005,,725,0.0000549607
476,0,,586,0,,726,0
477,0.000000140331,,587,0.000000055647,,727,-0.0000127767
478,0,,588,0,,728,0
479,-0.0000000764335,,589,-0.000000213378,,729,0.00000752126
480,0,,590,0,,730,0
481,0.000000165403,,591,0.000000797864,,731,-0.0000173083
482,0,,592,0,,732,0
483,-0.000000585177,,593,0.00000224692,,733,0.0000783369
484,0,,594,0.0000418,,734,0.000133
485,0.00000217531,,595,0.000145139,,735,0.0000863358
486,0,,596,0.000278,,736,0
487,-0.00000811605,,597,0.00041462,,737,-0.0000413051
488,0,,598,0.000624,,738,0
489,0.0000382514,,599,0.000984104,,739,0.00011151
490,0.0000637,,600,0.001514,,740,0.000128
491,0.000038248,,601,0.00219296,,741,-0.0000367336
492,0,,602,0.0029,,742,0
493,-0.00000810581,,603,0.00361055,,743,0.000496675
494,0,,604,0.004786,,744,0.000746
495,0.00000213777,,605,0.00689722,,745,0.000210785
496,0,,606,0.009967,,746,0
497,-0.00000044525,,607,0.0139972,,747,0.00112856
498,0,,608,0.019354,,748,0.002589
499,0.0000111932,,609,0.026937,,749,0.00326473
500,0.0000924,,610,0.039415,,750,0.003625
501,0.000283572,,611,0.0595558,,751,0.00437679
502,0.000498,,612,0.088754,,752,0.005592
503,0.000658668,,613,0.12926,,753,0.00719426
504,0.000854,,614,0.188118,,754,0.009149
505,0.00119768,,615,0.271407,,755,0.0115192
506,0.001739,,616,0.376548,,756,0.014716
507,0.00252373,,617,0.496801,,757,0.0191356
508,0.003648,,618,0.617449,,758,0.024766
509,0.00530341,,619,0.723335,,759,0.0316815
510,0.008013,,620,0.805534,,760,0.04071
511,0.0123588,,621,0.859478,,761,0.0528989
512,0.018827,,622,0.891812,,762,0.069421
513,0.0282067,,623,0.911017,,763,0.0915926
514,0.042593,,624,0.921709,,764,0.12118
515,0.0648518,,625,0.926913,,765,0.160193
516,0.099625,,626,0.927152,,766,0.211164
517,0.151517,,627,0.923222,,767,0.276279
518,0.223207,,628,0.919496,,768,0.355808
519,0.314506,,629,0.91962,,769,0.448716
520,0.415677,,630,0.92074,,770,0.550654
521,0.514893,,631,0.919568,,771,0.655679
522,0.601504,,632,0.917566,,772,0.754793
523,0.66701,,633,0.917418,,773,0.839152
524,0.710336,,634,0.921936,,774,0.903575
525,0.733757,,635,0.932545,,775,0.945749
526,0.745522,,636,0.944979,,776,0.971158
527,0.754002,,637,0.95517,,777,0.986544
528,0.762095,,638,0.965534,,778,0.995883
529,0.769546,,639,0.978467,,779,1.00127
530,0.768976,,640,0.989798,,780,1
531,0.756335,,641,0.99538,,781,0.990675
532,0.748013,,642,0.997728,,782,0.981795
533,0.758974,,643,0.999843,,783,0.98038
534,0.778046,,644,1,,784,0.977612
535,0.790134,,645,0.996171,,785,0.965136
536,0.790601,,646,0.98984,,786,0.952303
537,0.780507,,647,0.98322,,787,0.948695
538,0.773242,,648,0.977939,,788,0.947116
539,0.780763,,649,0.975003,,789,0.939485
540,0.79696,,650,0.973515,,790,0.930969
541,0.810773,,651,0.972093,,791,0.92711
542,0.809416,,652,0.969317,,792,0.921711
543,0.786231,,653,0.965169,,793,0.90895
544,0.760814,,654,0.965276,,794,0.896245
545,0.754745,,655,0.973913,,795,0.891348
546,0.771304,,656,0.984303,,796,0.890114
547,0.805859,,657,0.989374,,797,0.886795
548,0.840436,,658,0.991926,,798,0.88113
549,0.858384,,659,0.99531,,799,0.874228
550,0.861692,,660,0.995201,,800,0.867199
551,0.857946,,661,0.987271,,801,0.861011
552,0.858494,,662,0.974851,,802,0.856063
553,0.871903,,663,0.962479,,803,0.85236
554,0.891847,,664,0.951867,,804,0.848903
555,0.910054,,665,0.943053,,805,0.844886
556,0.925344,,666,0.932195,,806,0.841294
557,0.938452,,667,0.917405,,807,0.838781
558,0.950666,,668,0.90847,,808,0.8349
559,0.96217,,669,0.914714,,809,0.82768
560,0.968179,,670,0.931915,,810,0.820173
561,0.964839,,671,0.952891,,811,0.815706
562,0.956985,,672,0.972161,,812,0.813697
563,0.951379,,673,0.981129,,813,0.812541
564,0.953811,,674,0.957048,,814,0.810466
565,0.967024,,675,0.880446,,815,0.806164
566,0.982546,,676,0.759104,,816,0.800367
567,0.990986,,677,0.609929,,817,0.794168
568,0.990503,,678,0.459091,,818,0.788082
569,0.98263,,679,0.330397,,819,0.782477
570,0.974861,,680,0.228937,,820,0.777721
571,0.97375,,681,0.154198,,821,0.773944
572,0.976137,,682,0.101969,,822,0.770313
573,0.97682,,683,0.067142,,823,0.766116
574,0.972133,,684,0.04471,,824,0.762075
575,0.960566,,685,0.0301323,,825,0.75893
576,0.947705,,686,0.020631,,826,0.756053
577,0.939928,,687,0.0141462,,827,0.752733
578,0.939687,,688,0.009726,,828,0.74929
579,0.947478,,689,0.00675187,,829,0.746117
580,0.959912,,690,0.004829,,830,0.742875
581,0.972873,,691,0.00362125,,831,0.739079
582,0.983231,,692,0.002803,,832,0.7344
583,0.989231,,693,0.00211212,,833,0.728771
584,0.993621,,694,0.00153,,834,0.723025
585,0.998642,,695,0.001095,,835,0.717607
586,1,,696,0.00083,,836,0.710508
587,0.986354,,697,0.000707877,,837,0.700463
588,0.924708,,698,0.000517,,838,0.691634
589,0.788526,,699,0.000137367,,839,0.687775
590,0.59878,,700,0,,840,0.68557
591,0.391684,,701,0.000434781,,841,0.681279
592,0.216924,,702,0.000816,,842,0.676534
593,0.113264,,703,0.000542448,,843,0.673847
594,0.062303,,704,0.0000665,,844,0.673884
595,0.0355849,,705,-0.000067386,,845,0.676309
596,0.021607,,706,0,,846,0.678617
597,0.0139674,,707,0.0000202834,,847,0.678681
598,0.009716,,708,0,,848,0.678065
599,0.00705353,,709,-0.00000543491,,849,0.677749
600,0.005331,,710,0,,850,0.672703
601,0.00420676,,711,0.00000145627,,851,0.657678
602,0.003418,,712,0,,852,0.632557
603,0.00276154,,713,-0.000000390188,,853,0.598266
604,0.002194,,714,0,,854,0.554766
605,0.00170321,,715,0.000000104477,,855,0.502049
606,0.001242,,716,0,,856,0.441203
607,0.000783624,,717,-0.0000000277214,,857,0.374545
608,0.000418,,718,0,,858,0.3082
609,0.000225793,,719,0.00000000640815,,859,0.248164
610,0.000134,,720,0,,860,0.196097
611,0.000055453,,721,0.00000000208875,,861,0.152409
612,0,,722,0,,862,0.116844
613,-0.0000101052,,723,-0.0000000147631,,863,0.0888497
614,0,,724,0,,864,0.06734
615,0.00000171787,,725,0.0000000569638,,865,0.0510903
616,0,,726,0,,866,0.038852
617,0.00000427999,,727,-0.000000213092,,867,0.0295015
618,0.00000837,,728,0,,868,0.022439
619,0.00000522593,,729,0.000000795405,,869,0.0172013
620,0,,730,0,,870,0.013347
621,-0.00000111994,,731,-0.00000296853,,871,0.0104648
622,0,,732,0,,872,0.008242
623,0.000000300087,,733,0.0000139912,,873,0.00647165
624,0,,734,0.0000233,,874,0.00527
625,-0.0000000804081,,735,0.0000139912,,875,0.00469015
626,0,,736,0,,876,0.004209
627,0.0000000215453,,737,-0.00000296853,,877,0.00335849
628,0,,738,0,,878,0.002467
629,-0.00000000577304,,739,0.000000795407,,879,0.00192978
630,0,,740,0,,880,0.001613
631,0.00000000154688,,0,0,,881,0.00130503
632,0,,0,0,,882,0.001012
633,-0.000000000414486,,0,0,,883,0.000787113
634,0,,0,0,,884,0.000654
635,0.000000000111061,,0,0,,885,0.000620521
636,0,,0,0,,886,0.000661
637,-0.0000000000297587,,0,0,,887,0.000717304
638,0,,0,0,,888,0.000635
639,0.00000000000797383,,0,0,,889,0.00031929
640,0,,0,0,,890,0.0000102
641,-0.00000000000213659,,0,0,,891,-0.0000568883
642,0,,0,0,,892,0
643,0.00000000000057252,,0,0,,893,0.0000169632
644,0,,0,0,,894,0
645,-0.00000000000015349,,0,0,,895,-0.00000968947
646,0,,0,0,,896,0
647,0.0000000000000414422,,0,0,,897,0.0000272322
648,0,,0,0,,898,0.0000435
649,-0.0000000000000122784,,0,0,,899,0.0000258232
650,0,,0,0,,900,0
651,9.08199E-015,,0,0,,901,-0.00000546232
652,0.0000000000000112863,,0,0,,902,0
653,8.94968E-015,,0,0,,903,0.00000146362
654,4.40868E-015,,0,0,,904,0
655,0,,0,0,,905,-0.000000392177
656,-2.43351E-015,,0,0,,906,0
657,-3.02416E-015,,0,0,,907,0.000000105083
658,-2.39806E-015,,0,0,,908,0
659,-1.1813E-015,,0,0,,909,-0.000000028157
660,0,,0,0,,910,0
0,0,,0,0,,911,0.00000000754465
0,0,,0,0,,912,0
0,0,,0,0,,913,-0.00000000202158
0,0,,0,0,,914,0
0,0,,0,0,,915,0.000000000541682
0,0,,0,0,,916,0
0,0,,0,0,,917,-0.000000000145143
0,0,,0,0,,918,0
0,0,,0,0,,919,0.000000000038891
0,0,,0,0,,920,0
0,0,,0,0,,921,-0.0000000000104208
0,0,,0,0,,922,0
0,0,,0,0,,923,0.00000000000279225
0,0,,0,0,,924,0
0,0,,0,0,,925,-0.000000000000748181
0,0,,0,0,,926,0
0,0,,0,0,,927,0.000000000000200474
0,0,,0,0,,928,0
0,0,,0,0,,929,-0.000000000000053717
0,0,,0,0,,930,0
0,0,,0,0,,931,0.0000000000000143934
0,0,,0,0,,932,0
0,0,,0,0,,933,-3.85676E-015
0,0,,0,0,,934,0
0,0,,0,0,,935,1.03361E-015
0,0,,0,0,,936,0
0,0,,0,0,,937,-2.77697E-016
0,0,,0,0,,938,0
0,0,,0,0,,939,7.71721E-017
0,0,,0,0,,940,0
0,0,,0,0,,941,-3.09918E-017
0,0,,0,0,,942,0
0,0,,0,0,,943,4.67952E-017
0,0,,0,0,,944,0
0,0,,0,0,,945,-1.56189E-016
0,0,,0,0,,946,0
0,0,,0,0,,947,5.77961E-016
0,0,,0,0,,948,0
0,0,,0,0,,949,-2.15565E-015
0,0,,0,0,,950,0
